Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-08-22,24.49047,25.49479,24.49047,24.99263,9543
2001-08-23,25.08804,25.49479,24.7993,25.21107,9593
2001-08-24,24.89471,26.1928,24.89471,25.80613,11181
2001-08-27,26.1928,26.90587,25.5902,25.80613,38116
2001-08-28,25.49479,25.99947,25.49479,25.71323,17138
2001-08-29,25.49479,25.99947,25.39938,25.71323,13843
2001-08-30,25.80613,26.1928,25.80613,26.1928,12486
2001-08-31,25.99947,26.90587,25.99947,26.69496,28737
2001-09-03,27.00379,28.01063,26.78786,27.60136,90703
2001-09-04,28.20145,28.51279,27.0992,27.60136,71477
2001-09-05,27.29002,28.29435,27.29002,28.29435,17621
2001-09-06,28.51279,28.70612,27.69929,27.69929,47300
2001-09-07,27.60136,27.8876,27.0992,27.29002,27328
2001-09-10,26.3083,27.60136,26.3083,27.0992,26200
2001-09-11,27.50595,27.50595,24.99263,25.99947,24090
2001-09-12,24.20172,25.49479,24.01341,25.49479,68306
2001-09-13,24.89471,25.49479,24.7993,25.21107,17655
2001-09-14,24.89471,24.99263,23.10098,23.10098,37761
2001-09-17,23.00582,23.00582,22.09591,22.40725,20402
2001-09-18,22.59857,23.69981,22.00024,23.60465,32373
2001-09-19,23.60465,24.39255,23.60465,24.20172,19649
2001-09-20,24.39255,24.39255,23.50949,23.89038,6562
2001-09-21,22.90991,23.69981,22.19182,22.50291,15585
2001-09-24,23.50949,23.69981,22.09591,22.90991,13766
2001-09-25,23.00582,23.00582,22.09591,22.19182,48800
2001-09-26,22.40725,22.40725,22.00024,22.19182,38885
2001-09-27,22.50291,22.50291,20.99491,21.68915,11648
2001-09-28,22.00024,22.50291,21.90458,22.00024,26466
2001-10-01,22.00024,22.31133,22.00024,22.31133,6324
2001-10-02,22.59857,22.59857,21.21059,21.68915,9881
2001-10-03,21.68915,21.68915,21.09058,21.09058,11821
2001-10-04,21.68915,21.68915,21.21059,21.30626,19576
2001-10-05,21.40192,22.00024,21.40192,21.80892,9464
2001-10-08,21.80892,21.80892,21.21059,21.49758,11262
2001-10-09,21.68915,22.69423,21.49758,22.31133,34510
2001-10-10,22.69423,23.69981,22.31133,23.38747,64678
2001-10-11,24.49047,26.40371,23.19715,24.61099,126166
2001-10-12,24.89471,24.89471,24.01341,24.7993,41104
2001-10-15,24.49047,26.09488,24.20172,24.89471,41401
2001-10-16,25.71323,27.50595,25.49479,27.0992,63493
2001-10-17,28.6082,29.70794,25.71323,26.90587,88101
2001-10-18,25.5902,27.00379,25.30397,26.1928,53067
2001-10-19,26.1928,27.0992,25.71323,26.3083,36838
2001-10-22,26.1928,27.00379,26.1928,27.00379,42699
2001-10-23,27.69929,28.29435,26.3083,26.78786,86530
2001-10-24,26.1928,27.19712,25.99947,27.19712,47759
2001-10-25,27.8876,28.38976,26.1928,26.3083,68307
2001-10-26,27.00379,27.60136,26.78786,27.19712,48612
2001-10-29,27.69929,27.79219,26.78786,27.29002,56578
2001-10-30,26.40371,26.69496,25.71323,25.71323,37669
2001-10-31,25.49479,26.59704,25.39938,26.59704,28216
2001-11-02,26.69496,26.69496,26.09488,26.50163,14934
2001-11-05,26.1928,26.59704,26.1928,26.40371,8827
2001-11-06,26.59704,26.78786,25.80613,25.90154,11314
2001-11-07,25.71323,26.1928,25.30397,25.49479,17624
2001-11-08,25.71323,26.78786,25.30397,26.78786,20502
2001-11-09,26.3083,27.41054,25.99947,25.99947,39087
2001-11-12,26.69496,26.78786,25.5902,25.71323,19557
2001-11-13,26.3083,26.69496,25.99947,26.59704,23043
2001-11-14,27.19712,28.20145,26.50163,28.01063,104805
2001-11-15,28.10604,28.6082,26.78786,26.78786,73847
2001-11-16,26.90587,27.60136,26.78786,27.00379,17633
2001-11-19,27.41054,27.60136,26.1928,26.78786,27150
2001-11-20,26.78786,27.19712,26.50163,26.69496,16173
2001-11-21,26.90587,27.00379,25.80613,25.80613,46317
2001-11-22,25.21107,26.09488,24.99263,26.09488,41992
2001-11-23,26.09488,26.09488,25.08804,25.49479,60992
2001-11-26,25.5902,25.71323,24.99263,25.30397,21967
2001-11-27,25.30397,25.5902,25.21107,25.21107,12683
2001-11-28,24.61099,25.5902,24.61099,25.30397,21600
2001-11-29,25.5902,25.71323,25.30397,25.30397,15002
2001-11-30,25.30397,25.5902,24.7064,24.7064,11376
2001-12-03,24.29714,24.39255,23.29231,24.29714,13333
2001-12-04,25.08804,25.39938,24.7064,25.21107,17762
2001-12-05,25.99947,26.1928,25.30397,25.5902,27003
2001-12-06,26.09488,26.09488,25.5902,25.5902,24221
2001-12-07,25.49479,25.90154,25.49479,25.90154,15521
2001-12-10,25.5902,25.90154,24.7993,24.7993,27292
2001-12-11,24.29714,24.7064,24.10631,24.49047,33439
2001-12-12,24.99263,24.99263,24.01341,24.20172,18885
2001-12-13,24.20172,24.20172,21.80892,21.80892,33750
2001-12-14,21.68915,22.40725,21.59349,22.00024,21710
2001-12-17,22.40725,22.50291,21.49758,22.31133,40012
2001-12-18,22.00024,23.29231,22.00024,23.19715,59491
2001-12-19,23.10098,23.10098,22.19182,22.69423,44211
2001-12-20,22.69423,22.69423,22.40725,22.69423,45094
2001-12-21,22.31133,22.90991,22.00024,22.19182,19245
2001-12-27,22.50291,23.19715,22.00024,23.19715,144154
2001-12-28,24.7993,24.7993,22.40725,23.00582,436986
2001-12-31,23.00582,23.10098,22.19182,22.7904,28752
2002-01-02,23.00582,23.00582,22.31133,22.40725,4117
2002-01-03,22.69423,23.50949,22.59857,23.50949,24589
2002-01-04,24.10631,24.10631,22.59857,22.69423,73270
2002-01-07,22.69423,23.10098,22.00024,22.50291,38621
2002-01-08,22.50291,22.50291,21.49758,22.00024,40376
2002-01-09,22.09591,23.19715,21.80892,23.00582,49170
2002-01-10,23.19715,23.29231,22.40725,22.7904,79381
2002-01-11,22.69423,23.10098,22.59857,22.7904,26535
2002-01-14,22.7904,22.7904,22.09591,22.31133,22624
2002-01-15,21.90458,22.19182,21.90458,22.00024,21270
2002-01-16,22.31133,22.50291,22.00024,22.00024,39201
2002-01-17,22.40725,22.40725,22.09591,22.40725,36814
2002-01-18,22.59857,22.59857,22.09591,22.19182,33153
2002-01-21,22.09591,22.19182,21.68915,21.68915,17164
2002-01-28,22.00024,22.00024,14.00456,16.49428,474605
2002-01-29,16.80537,17.18852,16.11138,16.25475,120374
2002-01-30,16.11138,16.25475,15.20172,15.8957,54513
2002-01-31,16.11138,16.11138,15.39304,15.70413,21763
2002-02-01,15.8957,15.8957,14.60314,14.89038,54885
2002-02-04,14.19588,14.50723,12.71174,12.85561,384594
2002-02-05,12.90357,13.69322,12.54427,13.40623,80718
2002-02-06,13.78913,13.90865,12.99923,12.99923,63137
2002-02-07,13.09489,13.31032,12.95127,12.99923,22124
2002-02-08,12.85561,13.19055,12.85561,13.19055,12872
2002-02-11,13.64551,13.64551,12.80766,12.95127,23756
2002-02-12,12.95127,13.04694,12.49632,12.49632,13202
2002-02-13,12.3527,12.49632,11.99365,12.16112,26175
2002-02-14,12.44861,12.44861,11.99365,11.99365,13782
2002-02-15,11.99365,12.16112,11.34712,11.49099,46160
2002-02-18,11.75437,11.75437,10.55747,10.74879,67204
2002-02-19,10.70083,10.70083,10.05455,10.34204,52124
2002-02-20,10.24612,10.46155,10.10251,10.34204,43952
2002-02-21,10.60517,11.20375,10.50951,10.79649,80312
2002-02-22,10.70083,10.98807,10.60517,10.98807,28525
2002-02-25,11.99365,13.90865,11.70641,12.80766,316587
2002-02-26,13.45394,13.45394,12.59198,12.75945,268922
2002-02-27,12.71174,12.85561,12.16112,12.59198,112991
2002-02-28,12.59198,12.71174,12.3527,12.71174,21042
2002-03-01,12.75945,12.75945,12.30474,12.44861,468076
2002-03-04,12.80766,12.90357,11.49099,11.99365,222273
2002-03-05,11.99365,12.16112,11.70641,11.75437,28648
2002-03-06,11.6105,11.80208,11.25145,11.49099,43591
2002-03-07,11.65846,11.65846,11.20375,11.39507,32722
2002-03-08,11.6105,11.6105,11.25145,11.34712,29811
2002-03-11,11.44278,11.44278,11.29941,11.29941,9544
2002-03-12,11.20375,11.85003,11.10809,11.29941,91806
2002-03-13,11.29941,11.53869,11.15579,11.29941,36900
2002-03-14,11.05988,11.29941,11.05988,11.10809,16157
2002-03-15,11.20375,11.20375,11.10809,11.20375,8372
2002-03-18,11.29941,11.29941,11.10809,11.20375,11415
2002-03-19,11.15579,11.15579,10.50951,10.60517,27088
2002-03-20,10.60517,10.70083,10.29408,10.29408,34415
2002-03-21,10.50951,10.50951,10.19817,10.19817,25407
2002-03-22,10.34204,10.70083,10.24612,10.60517,36031
2002-03-25,10.74879,10.74879,10.29408,10.34204,35671
2002-03-26,10.10251,10.24612,10.00684,10.05455,57673
2002-03-27,10.00684,10.24612,9.91093,9.95864,36795
2002-03-28,10.00684,10.24612,9.95864,10.00684,35062
2002-04-02,9.95864,10.10251,9.91093,10.00684,4544
2002-04-03,9.95864,9.95864,9.14488,9.50393,29108
2002-04-04,9.50393,9.50393,8.80969,8.80969,57541
2002-04-05,9.00101,9.09667,8.85765,8.90535,41610
2002-04-08,8.90535,8.90535,7.90002,7.99593,36804
2002-04-09,8.0916,8.0916,6.99035,7.49302,162077
2002-04-10,7.49302,7.54098,7.20578,7.30144,44761
2002-04-11,7.3494,7.39736,6.75082,6.89469,48421
2002-04-12,6.99035,6.99035,5.96092,6.2002,173236
2002-04-15,6.2002,6.79903,5.4103,6.79903,290811
2002-04-16,7.03831,7.49302,6.51154,6.51154,238371
2002-04-17,6.79903,6.79903,6.2002,6.2002,121342
2002-04-18,6.2002,6.51154,6.2002,6.24816,45115
2002-04-19,6.34382,6.84674,6.29611,6.51154,70686
2002-04-22,6.55925,7.15783,6.43973,6.99035,79194
2002-04-23,7.15783,7.3494,6.70287,6.70287,126234
2002-04-24,6.75082,6.84674,6.43973,6.55925,67692
2002-04-25,6.6072,6.65516,6.39203,6.65516,13162
2002-04-26,6.65516,6.84674,6.6072,6.65516,25977
2002-04-29,6.70287,6.89469,6.6072,6.70287,39351
2002-04-30,6.89469,6.89469,6.6072,6.75082,17283
2002-05-02,6.84674,6.84674,6.6072,6.65516,17508
2002-05-06,6.6072,6.65516,6.39203,6.55925,27981
2002-05-07,6.51154,6.51154,6.34382,6.43973,25771
2002-05-08,6.34382,6.51154,6.34382,6.39203,17634
2002-05-09,6.6072,6.70287,6.34382,6.34382,54073
2002-05-10,6.34382,6.34382,6.2002,6.24816,31794
2002-05-13,6.10454,6.29611,5.84115,6.05658,45350
2002-05-14,6.10454,6.2002,5.88886,6.2002,48191
2002-05-15,6.24816,6.34382,6.05658,6.29611,34961
2002-05-16,6.29611,6.43973,6.2002,6.39203,65111
2002-05-17,6.6072,6.70287,6.34382,6.34382,77558
2002-05-20,6.43973,6.55925,6.39203,6.43973,20528
2002-05-21,6.43973,6.55925,6.43973,6.43973,14457
2002-05-22,6.55925,6.6072,6.29611,6.29611,32811
2002-05-23,6.39203,6.39203,6.29611,6.39203,8937
2002-05-24,6.39203,6.75082,6.29611,6.75082,62686
2002-05-27,6.75082,7.49302,6.70287,7.39736,301134
2002-05-28,7.49302,8.0916,6.89469,6.89469,351807
2002-05-29,6.94265,7.25374,6.94265,7.20578,93275
2002-05-31,7.3494,7.49302,7.20578,7.25374,52955
2002-06-03,7.39736,7.44531,7.25374,7.3494,45912
2002-06-04,7.39736,7.66074,7.3494,7.66074,89956
2002-06-05,7.90002,8.04364,7.7087,7.80436,124820
2002-06-06,7.94773,7.94773,7.44531,7.44531,107295
2002-06-07,7.30144,7.7564,7.25374,7.7564,84627
2002-06-10,7.7087,7.90002,7.66074,7.7564,25173
2002-06-11,7.7564,7.85206,7.58868,7.80436,33503
